1579081683.5836637;[121.73033905029297, 0]
1579081683.583689;[129.76602172851562, 0]
1579081683.5837088;[136.7510223388672, 0]
1579081683.583727;[143.30343627929688, 0]
1579081683.5837476;[150.74623107910156, 0]
1579081683.5837681;[157.7735595703125, 0]
1579081683.5837874;[166.6432342529297, 0]
1579081683.583805;[177.94798278808594, 0]
1579081683.5838225;[191.791015625, 0]
1579081683.5838408;[206.96807861328125, 0]
1579081683.7694528;[220.56591796875, 0]
1579081683.7766948;[228.24644470214844, 0]
1579081683.776727;[225.36154174804688, 0]
1579081683.7767506;[208.531982421875, 0]
1579081683.7767746;[176.8702392578125, 0]
1579081683.7767942;[132.76222229003906, 0]
1579081683.7768135;[80.04997253417969, 0]
1579081683.776833;[23.06927490234375, 0]
1579081683.7768524;[-34.943389892578125, 0]
1579081683.7768714;[-92.43695068359375, 0]
1579081683.77694;[-149.15695190429688, 0]
1579081683.8995147;[-205.22772216796875, 0]
1579081684.5895507;[-260.36962890625, 0]
1579081684.589577;[-313.7413330078125, 0]
1579081684.5895958;[-363.87396240234375, 0]
1579081684.5896108;[-409.8335266113281, 0]
1579081684.5896256;[-450.9077453613281, 0]
1579081684.5896392;[-486.50244140625, 0]
1579081684.5896528;[-515.7386474609375, 0]
1579081684.5902662;[-537.2274169921875, 0]
1579081684.590284;[-549.219970703125, 0]
1579081684.590299;[-549.9613037109375, 0]
1579081684.5903919;[-538.3670043945312, 0]
1579081684.5904055;[-514.2055053710938, 0]
1579081684.5904264;[-478.67401123046875, 0]
1579081684.590449;[-433.8795166015625, 0]
1579081684.5904737;[-382.4512634277344, 0]
1579081684.5904984;[-327.02105712890625, 0]
1579081684.5905154;[-269.84185791015625, 0]
1579081684.5905278;[-212.6337890625, 0]
1579081684.5905411;[-156.65939331054688, 0]
1579081684.5905538;[-102.95233154296875, 0]
1579081684.590567;[-52.37359619140625, 0]
1579081684.590581;[34.4900016784668, 0]
1579081684.590594;[34.4900016784668, 0]
1579081684.5906065;[34.4900016784668, 0]
1579081684.5906196;[34.4900016784668, 0]
1579081684.5906322;[34.4900016784668, 0]
1579081684.5915792;[34.4900016784668, 0]
1579081684.5915985;[34.4900016784668, 0]
1579081684.5916123;[34.4900016784668, 0]
1579081684.5917084;[-5.904693603515625, 0]
1579081684.591722;[35.580413818359375, 0]
1579081684.5917342;[71.42584228515625, 0]
1579081684.5917487;[101.35183715820312, 0]
1579081684.5917625;[125.50112915039062, 0]
1579081684.5917752;[144.37969970703125, 0]
1579081684.5917876;[158.69403076171875, 0]
1579081684.5917997;[169.1507110595703, 0]
1579081684.5918124;[176.37109375, 0]
1579081684.5918255;[180.7513885498047, 0]
1579081684.591838;[182.57418823242188, 0]
1579081684.6511838;[182.06863403320312, 0]
1579081684.6512058;[179.50660705566406, 0]
1579081684.6512232;[175.23324584960938, 0]
1579081684.6512403;[169.65283203125, 0]
1579081684.6512568;[163.17686462402344, 0]
1579081684.6512725;[156.14561462402344, 0]
1579081684.65129;[148.80702209472656, 0]
1579081684.651307;[141.29769897460938, 0]
1579081684.6513236;[133.6913604736328, 0]
1579081684.6513407;[126.0213623046875, 0]
1579081684.6513574;[118.3333511352539, 0]
1579081684.6513731;[110.68669128417969, 0]
1579081684.651389;[103.15090942382812, 0]
1579081684.6514046;[95.79962921142578, 0]
1579081684.6514206;[88.6849594116211, 0]
1579081684.651436;[81.8403549194336, 0]
1579081684.6514513;[75.27252960205078, 0]
