1579081697.7759893;[1.170339584350586, 0]
1579081697.775998;[-1.4150123596191406, 0]
1579081697.7760053;[-4.682521820068359, 0]
1579081697.7760115;[-8.667829513549805, 0]
1579081697.7760177;[-13.430835723876953, 0]
1579081697.7760239;[-19.009801864624023, 0]
1579081697.7760305;[-25.380128860473633, 0]
1579081697.7760372;[-32.37561798095703, 0]
1579081697.7760432;[-39.68967819213867, 0]
1579081697.7760491;[-46.93006134033203, 0]
1579081697.776055;[-53.56545639038086, 0]
1579081697.8167195;[-58.94084930419922, 0]
1579081697.822858;[-62.20270919799805, 0]
1579081697.822881;[-62.34634780883789, 0]
1579081697.822897;[-58.46318817138672, 0]
1579081697.82291;[-50.086734771728516, 0]
1579081697.822922;[-37.49576187133789, 0]
1579081697.8229353;[-21.84625244140625, 0]
1579081697.822948;[-4.907611846923828, 0]
1579081697.8229606;[11.360607147216797, 0]
1579081697.8229735;[25.362953186035156, 0]
1579081697.8229868;[0.6250286102294922, 0]
1579081697.8229988;[36.15607833862305, 0]
1579081698.0037723;[43.495548248291016, 0]
1579081698.0142236;[47.623233795166016, 0]
1579081698.0142553;[48.98149108886719, 0]
1579081698.014278;[48.052913665771484, 0]
1579081698.014299;[45.262996673583984, 0]
1579081698.014319;[41.094017028808594, 0]
1579081698.0143366;[36.081668853759766, 0]
1579081698.0143569;[30.74371337890625, 0]
1579081698.0143754;[25.5162353515625, 0]
1579081698.0143933;[20.700946807861328, 0]
1579081698.0144129;[16.468196868896484, 0]
1579081698.1496875;[34.470001220703125, 0]
1579081702.275808;[0.3816298246383667, 0]
1579081702.2758334;[0.3790685534477234, 0]
1579081702.275849;[0.3816298246383667, 0]
1579081702.275866;[-41.27349853515625, 0]
1579081702.275881;[-25.971527099609375, 0]
1579081702.2758937;[-7.7615966796875, 0]
1579081702.2759073;[10.906448364257812, 0]
1579081702.2759202;[27.816375732421875, 0]
1579081702.2759335;[0.6406543254852295, 0]
1579081702.2759464;[41.52507019042969, 0]
1579081702.2759593;[51.496246337890625, 0]
1579081702.275972;[57.908538818359375, 0]
1579081702.2786233;[61.221099853515625, 0]
1579081702.2786634;[61.888427734375, 0]
1579081702.2786934;[60.24395751953125, 0]
1579081702.278907;[56.63243103027344, 0]
1579081702.2789388;[51.48905944824219, 0]
1579081702.2789733;[45.420745849609375, 0]
1579081702.2790077;[39.07484436035156, 0]
1579081702.2790399;[33.07359313964844, 0]
1579081702.2790685;[27.872650146484375, 0]
1579081702.2790995;[23.75946044921875, 0]
1579081702.2791288;[20.867721557617188, 0]
1579081702.279157;[19.1934814453125, 0]
1579081702.279187;[18.553207397460938, 0]
1579081702.2792172;[18.620193481445312, 0]
1579081702.2794201;[18.989593505859375, 0]
1579081702.2794366;[19.305389404296875, 0]
1579081702.2794514;[19.347915649414062, 0]
1579081702.2794662;[19.0946044921875, 0]
1579081702.279482;[18.57427978515625, 0]
1579081702.279497;[17.775619506835938, 0]
1579081702.2819376;[16.524566650390625, 0]
1579081702.2819676;[14.537811279296875, 0]
1579081702.2819881;[11.504119873046875, 0]
1579081702.282006;[7.306640625, 0]
1579081702.2820265;[2.1140594482421875, 0]
1579081702.2821388;[-3.67364501953125, 0]
1579081702.2821562;[-9.535385131835938, 0]
1579081702.2821722;[-15.048797607421875, 0]
1579081702.282188;[-19.993270874023438, 0]
1579081702.2822046;[-24.34796142578125, 0]
1579081702.2822206;[-28.28015899658203, 0]
1579081702.2822363;[-32.06376647949219, 0]
1579081702.282253;[-36.074989318847656, 0]
1579081702.2822692;[-40.73011779785156, 0]
1579081702.2822847;[-46.391624450683594, 0]
1579081702.282314;[-53.020347595214844, 0]
1579081702.282338;[34.43000030517578, 0]
1579081702.2823536;[34.43000030517578, 0]
1579081702.2823694;[34.43000030517578, 0]
1579081713.7451494;[19.32025909423828, 0]
1579081713.7451763;[33.66718292236328, 0]
1579081713.7451975;[51.58000946044922, 0]
1579081713.7452154;[71.64456939697266, 0]
1579081713.745234;[92.70648193359375, 0]
1579081713.7452536;[112.98888397216797, 0]
1579081713.7452729;[130.59376525878906, 0]
1579081713.7454078;[0.39187490940093994, 0]
1579081713.7454262;[0.3867523670196533, 0]
1579081713.7454517;[0.393155574798584, 0]
1579081713.745485;[0.3905942738056183, 0]
1579081713.7455187;[0.393155574798584, 0]
1579081713.7455506;[0.38291046023368835, 0]
1579081713.7455878;[144.3214874267578, 0]
1579081713.7456234;[154.2333221435547, 0]
1579081713.7456574;[161.5889892578125, 0]
1579081713.7456896;[167.3670654296875, 0]
1579081713.745724;[171.7061004638672, 0]
1579081713.7457592;[165.13731384277344, 0]
1579081713.7457972;[142.4918975830078, 0]
1579081713.7458298;[106.13282775878906, 0]
1579081713.7458656;[65.35551452636719, 0]
1579081713.7459004;[29.804100036621094, 0]
1579081713.7467523;[4.204242706298828, 0]
1579081713.8954294;[-11.515427589416504, 0]
1579081714.2755144;[-20.45929527282715, 0]
1579081714.2755477;[-25.901222229003906, 0]
1579081714.2755723;[-29.980140686035156, 0]
1579081714.2755933;[-32.10502243041992, 0]
1579081714.2756119;[-31.22711944580078, 0]
1579081714.2756305;[-28.157363891601562, 0]
1579081714.2756484;[-24.131772994995117, 0]
1579081714.2756662;[-20.896286010742188, 0]
1579081714.2756834;[-19.658916473388672, 0]
1579081714.2757022;[-21.43817138671875, 0]
1579081714.2758327;[-26.408126831054688, 0]
1579081714.2758515;[-34.27847671508789, 0]
1579081714.2758694;[-43.58436584472656, 0]
1579081714.2758868;[-53.289642333984375, 0]
1579081714.275904;[-63.35460662841797, 0]
1579081714.275921;[-74.7585678100586, 0]
1579081714.2759385;[-89.30274963378906, 0]
1579081714.2759557;[-103.59697723388672, 0]
